course_enrolled,source_ccm_website,source_socialmedia,source_communityevent,source_family_friend,source_currentccm_student,source_ccm_alumni,source_hs_teacher,source_hs_counselor,source_in-app_ad,source_employer,source_billboard,source_television,source_radio,source_other,impact_cost,impact_location,impact_program_choice,impact_online_offerings,impact_family_friend,impact_faculty_staff,impact_reputation,impact_fin_aid,impact_scholarships,impact_class_size,impact_extracurricular,impact_transfer_credits,impact_neg_exp_other_college,impact_nj_stars,impact_transfer_ccm_credits,impact_hs_college_credit,participation_open_house,participation_decision_day,participation_info_session,participation_titans_tuesday,participation_women_dare,participation_regional_fair,participation_hs_sharetime,participation_challenger,participation_cybersecurity,participation_hs_info,participation_hs_campus_visit,participation_indiv_campus_visit,participation_workforce_dev,participation_corp_training,participation_teen_arts,participation_summer_camp,impact_hs_computing_class,impact_hs_computing_club,impact_computing_competition,impact_afterschool_program,impact_summer_program,impact_ap_computing,impact_dual_enrollment,impact_family_friend_influence,impact_family_computing_field,impact_hs_teacher_counselor,impact_employer_influence,impact_current_student,impact_work_experience,impact_other,current_program,motivation_computing_job,motivation_transfer_bachelors,motivation_transfer_hs_credits,motivation_career_advancement,motivation_career_change,motivation_professional_dev,motivation_job_displacement,motivation_relocation,motivation_current_tech,motivation_it_certifications,motivation_financial,motivation_enrichment,info_hs_counselor,info_hs_teacher,info_ccm_it_website,info_ccm_admissions,info_ccm_advisor,info_employer,info_ccm_workforce_dev,info_nj_workforce_dev,info_other,"Was a computing major/certificate your first choice, or did you change majors from a different CCM program? If you changed majors, indicate what your first major was.","On a scale of 1 to 5, with 1 being not at all interested and 5 being extremely interested, how interested are you in taking more computing classes?",Please explain your answer to the question above.  Why or why not would you be interested in taking another computing class?,gender,race_ethnicity,Age 
CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,,,No Impact,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,,,,,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,First Choice,,,Woman,Hispanic/Latino,25-34
CMP 128 Computer Science I,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,First Choice,,,Man,Hispanic or Latino;White/Caucasian,18 and younger
CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,,,,,,,,,,,,,,,,High Impact,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,,,,,,Some Impact,,,,,,No Impact,High School,,,,,,,,,,,,,,,,,,,,,,,5.0,I am interested because I am looking to major in Comp Sci or Cybersecurity when I go to college,Man,American Indian/Native American/Alaska Native,18 and younger
CMP 128 Computer Science I,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Don't recall,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Business,,,Man,Hispanic or Latino;White/Caucasian,19-20
CMP 128 Computer Science I,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,mechanical engineering,,,,,,,,,,,,,,,,,,,,,,,3.0,idk if i need em,Man,White/Caucasian,19-20
CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,First Choice,,,Man,Choose not to reply,19-20
CMP 128 Computer Science I,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,18 and younger
CMP 128 Computer Science I,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,,,,High Impact,High Impact,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,High Impact,,,,,,High Impact,High Impact,,,,,,High Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,First Choice,,,Woman,Hispanic/Latino,18 and younger
CMP 128 Computer Science I,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,,,High Impact,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,4.0,I'm really interested in the topic,Man,Multi-Racial,18 and younger
CMP 128 Computer Science I,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Fire Science Technology,,,,,,,,,,,,,,,,,,,,,,,1.0,it doesn't seem at all fit for the career path that I want to pursue (firefighter),Man,White/Caucasian,19-20
CMP 120 Foundations of Information Security,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,First Choice,,,Man,Choose not to reply,19-20
CMP 120 Foundations of Information Security,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Undecided,,,,,,,,,,,,,,,,,,,,,,,4.0,im extremely interested in programming in python but that love of programming isn't transferring well in to java programming ,Man,Hispanic/Latino,19-20
CMP 120 Foundations of Information Security,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Information Technology,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Biology,,,Man,White/Caucasian,19-20
CMP 130 Intro to IT,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Information Security Certificate of Achievement,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,First Choice,,,Man,Hispanic/Latino,18 and younger
CMP 120 Foundations of Information Security,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,Some Impact,Information Security Certificate of Achievement,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Don't recall,No,Don't recall,Exercise Science,,,Man,White/Caucasian,18 and younger
CMP 120 Foundations of Information Security,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,High Impact,No Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,First Choice,,,Woman,Hispanic or Latino;White/Caucasian,19-20
CMP 120 Foundations of Information Security,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Don't recall,Yes,No,Yes,First Choice,,,Man,Black/African American,35-64
CMP 120 Foundations of Information Security,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Security Certificate of Achievement,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Art,,,Man,Black/African American,19-20
CMP 120 Foundations of Information Security,No,Don't recall,Don't recall,Yes,No,No,No,Yes,Don't recall,No,No,No,No,No,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,,,,High Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,business,,,,,,,,,,,,,,,,,,,,,,,3.0,"I am neutral with interest in computing classes because its just something I have a passion in, i'm not sure if I see a career path with it.",Man,White/Caucasian,19-20
CMP 120 Foundations of Information Security,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,,Some Impact,No Impact,No Impact,No Impact,,High Impact,,Not Sure,No,Not Sure,No,No,No,No,No,No,No,No,Not Sure,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Don't recall,Don't recall,No,No,No,No,Don't recall,First Choice,,,Man,Choose not to reply,21-24
CMP 120 Foundations of Information Security,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Information Technology,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,First Choice,,,Man,Hispanic or Latino;White/Caucasian,19-20
CMP 131 Fundamentals of Programming (Python),No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,,High Impact,,,Some Impact,,High Impact,,,High Impact,,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,,,,,,,,High Impact,High Impact,,,,High Impact,,Information Technology,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Science,,,Man,Hispanic/Latino,35-64
CMP 131 Fundamentals of Programming (Python),No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,,,,,High Impact,,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,,Computer Science,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Engineering,,,Man,White/Caucasian,21-24
CMP 131 Fundamentals of Programming (Python),Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,First Choice,,,Woman,Hispanic/Latino,21-24
CMP 131 Fundamentals of Programming (Python),Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Data Analytics Certificate of Achievement,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,First Choice,,,Woman,Black/African American,25-34
CMP 131 Fundamentals of Programming (Python),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,White/Caucasian,25-34
CMP 131 Fundamentals of Programming (Python),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,,,,,,,,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,,,,,High Impact,,High Impact,High Impact,High Impact,High Impact,High Impact,,,Information Technology,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,First Choice,,,Man,Asian,19-20
CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Yes,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,LIberal Arts,,,Woman,White/Caucasian,21-24
CMP 128 Computer Science I,Yes,No,Yes,Yes,No,No,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,,High Impact,,High Impact,,,Some Impact,High Impact,,,,High Impact,,Yes,No,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,,,,,,High Impact,,High Impact,High Impact,No Impact,No Impact,Some Impact,,,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Don't recall,Yes,Don't recall,Yes,Don't recall,Don't recall,Don't recall,First Choice,,,Woman,Asian,18 and younger
CMP 128 Computer Science I,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Challenger Program,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,i’m a senior in high school,,,Man,White/Caucasian,18 and younger
CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Chemistry,,,,,,,,,,,,,,,,,,,,,,,4.0,I find computer classes extremely interesting in my free time. I don't plan on pursuing a career in the computer industry.,Woman,Asian,19-20
CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,,No Impact,High Impact,,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,High Impact,,Some Impact,,,,,,,,,,,,Graphic Design,,,,,,,,,,,,,,,,,,,,,,,5.0,The class I'm in now is challenging but fun. Learning more about programming and how computers process information made me develop an interest and led me to considering on changing my major. ,Woman,Hispanic/Latino,18 and younger
CMP 239 Internet & Web Page Design,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Some Impact,Some Impact,High Impact,,,,,,,Some Impact,,High Impact,Some Impact,,Some Impact,,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Some Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Digital Media Technology,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,First Choice,,,Man,White/Caucasian,21-24
CMP 239 Internet & Web Page Design,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,business,,,,,,,,,,,,,,,,,,,,,,,2.0,not something i am interested in,Man,White/Caucasian,35-64
CMP 239 Internet & Web Page Design,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Business ,,,,,,,,,,,,,,,,,,,,,,,1.0,I was never really into computing.,Man,White/Caucasian,21-24
CMP 239 Internet & Web Page Design,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,No Impact,,,business administration,,,,,,,,,,,,,,,,,,,,,,,4.0,I am been learning new things ,Woman,Hispanic/Latino,21-24
CMP 239 Internet & Web Page Design,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,Yes,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,graphic arts,,,,,,,,,,,,,,,,,,,,,,,4.0,"it is far more technical than boring, i assumed the latter",Prefer not to say,American Indian/Native American/Alaska Native,21-24
CMP 239 Internet & Web Page Design,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,,,,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,,Some Impact,No Impact,,,,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Digital Media Technology,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Journalism,,,Man,White/Caucasian,21-24
CMP 239 Internet & Web Page Design,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,High Impact,,,High Impact,High Impact,High Impact,,High Impact,High Impact,,,,,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Not Sure,Not Sure,Not Sure,Not Sure,,,,,,,,High Impact,,,,High Impact,High Impact,,Undecided,,,,,,,,,,,,,,,,,,,,,,,5.0,because it incorporates in my business class,Man,Hispanic/Latino,19-20
CMP 120 Foundations of Information Security,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Some Impact,No Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,Some Impact,High Impact,,,High Impact,High Impact,Yes,Not Sure,Not Sure,Not Sure,Not Sure,Yes,Yes,Not Sure,No,Yes,Yes,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,,,High Impact,High Impact,,,High Impact,,,Information Technology,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Engineering,,,Man,Asian,18 and younger
